,Adj Close
0,1191.634033203125
1,1192.062255859375
2,1190.2900390625
3,1193.396240234375
4,1200.5941162109375
5,1182.5445556640625
6,1143.518798828125
7,1126.7236328125
8,1135.385009765625
9,1137.95361328125
10,1133.593017578125
11,1117.1663818359375
12,1121.11865234375
13,1120.8199462890625
14,1110.9000244140625
15,1107.1800537109375
16,1089.6199951171875
17,1094.550048828125
18,1092.0
19,1116.5699462890625
20,1141.0
21,1110.1800537109375
22,1114.719970703125
23,1113.8499755859375
24,1103.4300537109375
25,1110.300048828125
26,1112.9300537109375
27,1087.050048828125
28,1081.3499755859375
29,1128.0699462890625
30,1129.969970703125
31,1123.75
32,1113.469970703125
33,1113.969970703125
34,1105.469970703125
35,1123.8800048828125
36,1117.5699462890625
37,1122.949951171875
38,1124.800048828125
39,1125.6500244140625
40,1135.4300537109375
41,1128.719970703125
42,1122.0699462890625
43,1105.6800537109375
44,1093.8800048828125
45,1101.050048828125
46,1199.5999755859375
47,1257.25
48,1253.800048828125
49,1239.699951171875
50,1242.5
51,1244.199951171875
52,1227.449951171875
53,1248.800048828125
54,1223.550048828125
55,1189.699951171875
56,1186.9000244140625
57,1228.1500244140625
58,1200.550048828125
59,1198.800048828125
60,1204.4000244140625
61,1223.050048828125
62,1221.0999755859375
63,1220.0
64,1229.0
