,Adj Close
0,1600.75
1,1590.8499755859375
2,1648.5
3,1618.5999755859375
4,1576.25
5,1516.0
6,1478.699951171875
7,1470.949951171875
8,1537.199951171875
9,1526.949951171875
10,1497.5
11,1524.5999755859375
12,1511.1500244140625
13,1513.5999755859375
14,1507.1500244140625
15,1514.949951171875
16,1539.550048828125
17,1579.199951171875
18,1600.3499755859375
19,1623.300048828125
20,1635.550048828125
21,1583.6500244140625
22,1626.3499755859375
23,1580.8499755859375
24,1593.550048828125
25,1614.800048828125
26,1598.949951171875
27,1597.9000244140625
28,1600.300048828125
29,1610.800048828125
30,1643.550048828125
31,1639.8499755859375
32,1631.5
33,1626.449951171875
34,1609.1500244140625
35,1647.050048828125
36,1665.550048828125
37,1693.8499755859375
38,1675.5999755859375
39,1638.4000244140625
40,1606.800048828125
41,1606.8499755859375
42,1602.4000244140625
43,1626.800048828125
44,1585.699951171875
45,1557.0999755859375
46,1525.3499755859375
47,1470.0999755859375
48,1477.0999755859375
49,1494.1500244140625
50,1508.25
51,1520.5
52,1511.25
53,1505.550048828125
54,1505.050048828125
55,1507.949951171875
56,1479.949951171875
57,1500.0999755859375
58,1473.8499755859375
59,1476.4000244140625
60,1482.0
61,1491.6500244140625
62,1528.199951171875
63,1499.1500244140625
64,1610.5999755859375
