,Adj Close
0,4564.4501953125
1,4595.0
2,4593.2001953125
3,4608.75
4,4603.60009765625
5,4524.35009765625
6,4582.2998046875
7,4540.7998046875
8,4444.75
9,4463.85009765625
10,4500.60009765625
11,4368.25
12,4319.0498046875
13,4342.7001953125
14,4231.0498046875
15,4299.5
16,4245.25
17,4358.14990234375
18,4343.4501953125
19,4231.7001953125
20,4277.39990234375
21,4181.25
22,4223.2001953125
23,4212.0498046875
24,4160.60009765625
25,4033.449951171875
26,3923.75
27,3835.10009765625
28,3861.050048828125
29,4039.39990234375
30,4136.39990234375
31,4122.75
32,4072.89990234375
33,4052.550048828125
34,3886.39990234375
35,3877.550048828125
36,3889.25
37,3908.5
38,3905.10009765625
39,3901.75
40,4003.199951171875
41,4032.89990234375
42,3992.25
43,3899.300048828125
44,3901.949951171875
45,3864.550048828125
46,4267.14990234375
47,4404.9501953125
48,4313.7998046875
49,4277.25
50,4397.2001953125
51,4393.2998046875
52,4330.5498046875
53,4216.35009765625
54,4147.4501953125
55,3980.199951171875
56,3873.10009765625
57,4041.0
58,3980.550048828125
59,4075.800048828125
60,4171.89990234375
61,4206.0498046875
62,4284.2998046875
63,4257.39990234375
64,4295.5
