,Adj Close
0,755.4500122070312
1,749.6500244140625
2,761.7000122070312
3,752.6500244140625
4,740.8499755859375
5,729.4500122070312
6,727.5
7,726.4000244140625
8,711.0999755859375
9,723.2999877929688
10,729.8499755859375
11,719.6500244140625
12,706.5499877929688
13,674.4000244140625
14,669.6500244140625
15,673.4500122070312
16,662.9000244140625
17,678.8499755859375
18,660.0499877929688
19,660.0
20,660.7000122070312
21,650.1500244140625
22,663.2000122070312
23,675.5499877929688
24,685.0
25,672.2000122070312
26,665.0
27,660.9000244140625
28,663.4000244140625
29,683.6500244140625
30,682.5499877929688
31,678.0999755859375
32,660.9500122070312
33,663.75
34,645.3499755859375
35,646.9500122070312
36,649.25
37,671.0
38,671.5999755859375
39,681.7000122070312
40,662.7999877929688
41,674.3499755859375
42,671.2000122070312
43,640.2000122070312
44,648.2000122070312
45,638.25
46,680.7000122070312
47,727.0499877929688
48,704.2999877929688
49,694.9000244140625
50,700.0999755859375
51,700.8499755859375
52,684.6500244140625
53,679.7000122070312
54,668.25
55,656.1500244140625
56,672.75
57,686.2999877929688
58,672.9000244140625
59,672.5
60,683.5499877929688
61,690.0
62,693.5
63,710.5499877929688
64,709.2000122070312
