,Adj Close
0,363.54998779296875
1,359.95001220703125
2,364.25
3,372.1499938964844
4,363.6499938964844
5,356.0
6,350.79998779296875
7,342.04998779296875
8,339.6499938964844
9,341.3999938964844
10,342.5
11,343.6499938964844
12,327.5
13,332.04998779296875
14,317.20001220703125
15,308.45001220703125
16,300.25
17,301.25
18,289.95001220703125
19,294.29998779296875
20,291.3500061035156
21,283.3999938964844
22,289.8500061035156
23,290.95001220703125
24,286.70001220703125
25,283.6499938964844
26,277.3999938964844
27,268.3999938964844
28,271.1000061035156
29,280.25
30,285.70001220703125
31,284.8999938964844
32,274.6499938964844
33,273.70001220703125
34,268.3500061035156
35,274.95001220703125
36,273.1499938964844
37,273.95001220703125
38,277.8999938964844
39,285.29998779296875
40,286.8500061035156
41,291.70001220703125
42,284.6499938964844
43,273.8999938964844
44,280.5
45,274.04998779296875
46,301.70001220703125
47,313.6000061035156
48,302.45001220703125
49,280.1499938964844
50,281.8999938964844
51,281.25
52,270.8999938964844
53,256.0
54,255.0
55,249.89999389648438
56,249.0
57,260.8999938964844
58,254.0500030517578
59,254.5
60,255.4499969482422
61,258.3999938964844
62,255.89999389648438
63,265.45001220703125
64,269.6499938964844
