,Adj Close
0,2097.551513671875
1,2135.469482421875
2,2100.8544921875
3,2112.076904296875
4,2060.902099609375
5,2071.875244140625
6,2104.744873046875
7,2107.28857421875
8,2091.677001953125
9,2122.70068359375
10,2103.89697265625
11,2124.795654296875
12,2173.825439453125
13,2200.310791015625
14,2174.723388671875
15,2199.911865234375
16,2243.10595703125
17,2209.48828125
18,2208.041748046875
19,2252.582763671875
20,2240.76171875
21,2194.075927734375
22,2199.013916015625
23,2159.81005859375
24,2157.715087890625
25,2181.406982421875
26,2180.8583984375
27,2210.585693359375
28,2242.2080078125
29,2270.73828125
30,2231.03564453125
31,2233.77880859375
32,2227.992919921875
33,2254.0791015625
34,2246.0986328125
35,2239.91357421875
36,2209.887451171875
37,2192.130859375
38,2177.5166015625
39,2148.737060546875
40,2128.386962890625
41,2136.716552734375
42,2144.746826171875
43,2117.463623046875
44,2133.324951171875
45,2096.814208984375
46,2060.4033203125
47,2010.8748779296875
48,2039.7041015625
49,2083.34716796875
50,2082.49951171875
51,2051.1259765625
52,2094.1708984375
53,2054.916748046875
54,2055.216064453125
55,2074.26953125
56,2042.69677734375
57,2015.1641845703125
58,1999.552490234375
59,1981.9954833984375
60,2016.06201171875
61,2032.322265625
62,2041.4000244140625
63,2030.949951171875
64,2057.35009765625
