,Adj Close
0,148.7736358642578
1,149.7674560546875
2,151.307861328125
3,148.97239685058594
4,142.5126190185547
5,143.009521484375
6,145.7425079345703
7,143.7052001953125
8,142.71139526367188
9,142.95985412597656
10,141.0218963623047
11,139.48150634765625
12,137.8914031982422
13,137.99078369140625
14,136.05284118652344
15,133.5186309814453
16,130.4875030517578
17,130.63656616210938
18,129.6924591064453
19,130.04029846191406
20,130.13966369628906
21,126.95947265625
22,126.0650405883789
23,127.1085433959961
24,125.51844787597656
25,124.27618408203125
26,120.44999694824219
27,116.94999694824219
28,122.25
29,123.75
30,125.5999984741211
31,121.19999694824219
32,123.25
33,121.19999694824219
34,117.1500015258789
35,119.0
36,125.1500015258789
37,127.94999694824219
38,129.39999389648438
39,125.75
40,125.9000015258789
41,128.85000610351562
42,130.6999969482422
43,129.6999969482422
44,127.0
45,124.30000305175781
46,133.60000610351562
47,136.3000030517578
48,133.5
49,131.4499969482422
50,137.0500030517578
51,131.5
52,131.8000030517578
53,128.1999969482422
54,128.10000610351562
55,129.5500030517578
56,126.55000305175781
57,125.8499984741211
58,125.5
59,129.0
60,135.25
61,138.64999389648438
62,141.64999389648438
63,141.39999389648438
64,143.5
