,Adj Close
0,356.1000061035156
1,350.6000061035156
2,350.75
3,346.25
4,342.5
5,339.95001220703125
6,342.54998779296875
7,343.6000061035156
8,338.8999938964844
9,339.0
10,334.8999938964844
11,334.54998779296875
12,345.75
13,337.6000061035156
14,323.8999938964844
15,343.54998779296875
16,357.70001220703125
17,368.45001220703125
18,366.1000061035156
19,372.1499938964844
20,371.1499938964844
21,351.6499938964844
22,361.20001220703125
23,361.54998779296875
24,361.0
25,358.04998779296875
26,354.8999938964844
27,352.75
28,356.3999938964844
29,360.6499938964844
30,348.29998779296875
31,345.79998779296875
32,343.5
33,346.79998779296875
34,336.8500061035156
35,345.70001220703125
36,347.70001220703125
37,349.25
38,356.45001220703125
39,355.1000061035156
40,347.54998779296875
41,343.04998779296875
42,344.0
43,339.8500061035156
44,335.6000061035156
45,337.6000061035156
46,356.3999938964844
47,348.0
48,348.6499938964844
49,341.6499938964844
50,344.04998779296875
51,349.1000061035156
52,367.04998779296875
53,350.95001220703125
54,344.8999938964844
55,339.5
56,341.54998779296875
57,359.3999938964844
58,377.25
59,382.8999938964844
60,393.54998779296875
61,383.6499938964844
62,385.25
63,385.8500061035156
64,383.5
