,Adj Close
0,1713.199951171875
1,1716.949951171875
2,1741.300048828125
3,1760.699951171875
4,1739.1500244140625
5,1720.4000244140625
6,1680.699951171875
7,1693.3499755859375
8,1728.6500244140625
9,1736.6500244140625
10,1730.6500244140625
11,1713.300048828125
12,1719.9000244140625
13,1726.6500244140625
14,1731.300048828125
15,1737.449951171875
16,1741.199951171875
17,1744.0999755859375
18,1777.25
19,1803.0999755859375
20,1841.3499755859375
21,1824.75
22,1839.050048828125
23,1828.6500244140625
24,1820.9000244140625
25,1843.4000244140625
26,1850.0
27,1872.0999755859375
28,1860.0
29,1876.550048828125
30,1861.4000244140625
31,1828.0999755859375
32,1832.949951171875
33,1881.9000244140625
34,1841.8499755859375
35,1846.5999755859375
36,1829.75
37,1819.1500244140625
38,1834.050048828125
39,1824.300048828125
40,1805.4000244140625
41,1805.550048828125
42,1816.300048828125
43,1831.199951171875
44,1829.199951171875
45,1812.75
46,1969.75
47,2039.75
48,2050.449951171875
49,2051.5
50,2034.4000244140625
51,2010.9000244140625
52,1981.949951171875
53,1990.300048828125
54,1962.050048828125
55,1944.199951171875
56,1940.050048828125
57,1948.0
58,1968.75
59,2004.6500244140625
60,2014.25
61,2064.39990234375
62,2071.0
63,2103.85009765625
64,2106.85009765625
