,Adj Close
0,424.9739074707031
1,420.34649658203125
2,422.4860534667969
3,422.6353454589844
4,416.6645202636719
5,408.1063232421875
6,410.70001220703125
7,412.25
8,408.54998779296875
9,409.04998779296875
10,415.5
11,429.29998779296875
12,424.95001220703125
13,424.5
14,417.1499938964844
15,410.75
16,402.6000061035156
17,410.3999938964844
18,408.3999938964844
19,414.6000061035156
20,420.3999938964844
21,410.5
22,417.3500061035156
23,419.1499938964844
24,423.3999938964844
25,417.1499938964844
26,412.20001220703125
27,399.1499938964844
28,395.75
29,411.95001220703125
30,418.70001220703125
31,413.04998779296875
32,404.70001220703125
33,410.3999938964844
34,392.1499938964844
35,397.5
36,388.8999938964844
37,391.5
38,394.45001220703125
39,394.3500061035156
40,402.75
41,413.25
42,411.95001220703125
43,400.6000061035156
44,399.1499938964844
45,386.54998779296875
46,417.3500061035156
47,445.20001220703125
48,440.8500061035156
49,434.45001220703125
50,452.04998779296875
51,449.1499938964844
52,433.3999938964844
53,424.54998779296875
54,427.29998779296875
55,413.75
56,416.29998779296875
57,436.6000061035156
58,423.70001220703125
59,428.3999938964844
60,428.6000061035156
61,431.70001220703125
62,435.29998779296875
63,440.54998779296875
64,437.75
