,Adj Close
0,1484.25
1,1507.75
2,1502.5
3,1532.9000244140625
4,1537.5999755859375
5,1499.800048828125
6,1453.6500244140625
7,1493.699951171875
8,1497.5999755859375
9,1485.4000244140625
10,1511.0
11,1503.0999755859375
12,1498.0
13,1519.0999755859375
14,1496.1500244140625
15,1507.5999755859375
16,1460.3499755859375
17,1484.9000244140625
18,1476.25
19,1504.050048828125
20,1533.75
21,1511.800048828125
22,1491.9000244140625
23,1499.5
24,1496.25
25,1506.0999755859375
26,1505.800048828125
27,1477.300048828125
28,1472.5
29,1513.300048828125
30,1502.25
31,1483.5999755859375
32,1450.300048828125
33,1431.699951171875
34,1414.3499755859375
35,1426.949951171875
36,1409.449951171875
37,1441.5999755859375
38,1471.0999755859375
39,1474.6500244140625
40,1457.5
41,1483.550048828125
42,1472.5999755859375
43,1449.0999755859375
44,1462.9000244140625
45,1453.4000244140625
46,1538.5
47,1643.0
48,1617.9000244140625
49,1601.25
50,1629.3499755859375
51,1644.199951171875
52,1644.3499755859375
53,1647.75
54,1616.0
55,1562.3499755859375
56,1556.1500244140625
57,1608.300048828125
58,1585.8499755859375
59,1588.0999755859375
60,1583.75
61,1614.800048828125
62,1606.050048828125
63,1603.949951171875
64,1615.449951171875
